List of questions,Convo history (Context window),Expected output
1. Do you watch alone or with family? 2. Do you have any favorite shows you watch together? 3. How do you feel about ads on our platform? 4. Would you be interested in an ad-free plan?,"[""ai_assistant"": ""Do you watch alone or with family?"", ""user"": ""Mostly with my partner.""]","[""ai_assistant"": ""That’s nice! Do you have any favorite shows you watch together?""]"
,"[""ai_assistant"": ""Do you watch alone or with family?"", ""user"": ""Mostly with my partner."", ""ai_assistant"": ""That’s nice! Do you have any favorite shows you watch together?"", ""user"": ""Yes, we love crime dramas!""]","[""ai_assistant"": ""What’s your favorite part about crime dramas?""]"
,"[""ai_assistant"": ""Do you watch alone or with family?"", ""user"": ""Mostly with my partner."", ""ai_assistant"": ""That’s nice! Do you have any favorite shows you watch together?"", ""user"": ""Yes, we love crime dramas!"", ""ai_assistant"": ""What’s your favorite part about crime dramas?"", ""user"": ""I enjoy the mystery and plot twists.""]","[""ai_assistant"": ""How do you feel about ads on our platform?""]"
,"[""ai_assistant"": ""Do you watch alone or with family?"", ""user"": ""Mostly with my partner."", ""ai_assistant"": ""That’s nice! Do you have any favorite shows you watch together?"", ""user"": ""Yes, we love crime dramas!"", ""ai_assistant"": ""What’s your favorite part about crime dramas?"", ""user"": ""I enjoy the mystery and plot twists."", ""ai_assistant"": ""How do you feel about ads on our platform?"", ""user"": ""They’re a bit annoying, to be honest.""]","[""ai_assistant"": ""Would you be interested in an ad-free plan?""]"
2. Is there any content you wish we had? 3. Any particular titles you’d like to see? 4. How often do you use our offline viewing feature? 5. Does it meet your expectations?,"[""ai_assistant"": ""Is there any content you wish we had?"", ""user"": ""Yes, more anime series.""]","[""ai_assistant"": ""Any particular titles you’d like to see?""]"
,"[""ai_assistant"": ""Is there any content you wish we had?"", ""user"": ""Yes, more anime series."", ""ai_assistant"": ""Any particular titles you’d like to see?"", ""user"": ""Some older classics that are hard to find.""]","[""ai_assistant"": ""What’s your favorite anime genre?""]"
,"[""ai_assistant"": ""Is there any content you wish we had?"", ""user"": ""Yes, more anime series."", ""ai_assistant"": ""Any particular titles you’d like to see?"", ""user"": ""Some older classics that are hard to find."", ""ai_assistant"": ""What’s your favorite anime genre?"", ""user"": ""I love sci-fi and fantasy.""]","[""ai_assistant"": ""How often do you use our offline viewing feature?""]"
3. How satisfied are you with our customer support? 4. Have you had to contact support recently? 5. Was your issue resolved quickly? 6. Is there anything we could improve?,"[""ai_assistant"": ""How satisfied are you with our customer support?"", ""user"": ""It’s okay, but could be better.""]","[""ai_assistant"": ""Have you had to contact support recently?""]"
,"[""ai_assistant"": ""How satisfied are you with our customer support?"", ""user"": ""It’s okay, but could be better."", ""ai_assistant"": ""Have you had to contact support recently?"", ""user"": ""Yes, last week.""]","[""ai_assistant"": ""What was the issue about?""]"
,"[""ai_assistant"": ""How satisfied are you with our customer support?"", ""user"": ""It’s okay, but could be better."", ""ai_assistant"": ""Have you had to contact support recently?"", ""user"": ""Yes, last week."", ""ai_assistant"": ""What was the issue about?"", ""user"": ""My billing was incorrect.""]","[""ai_assistant"": ""Was your issue resolved quickly?""]"
,"[""ai_assistant"": ""How satisfied are you with our customer support?"", ""user"": ""It’s okay, but could be better."", ""ai_assistant"": ""Have you had to contact support recently?"", ""user"": ""Yes, last week."", ""ai_assistant"": ""What was the issue about?"", ""user"": ""My billing was incorrect."", ""ai_assistant"": ""Was your issue resolved quickly?"", ""user"": ""Not really, I had to follow up multiple times.""]","[""ai_assistant"": ""Is there anything we could improve?""]"
,"[""ai_assistant"": ""How satisfied are you with our customer support?"", ""user"": ""It’s okay, but could be better."", ""ai_assistant"": ""Have you had to contact support recently?"", ""user"": ""Yes, last week."", ""ai_assistant"": ""What was the issue about?"", ""user"": ""My billing was incorrect."", ""ai_assistant"": ""Was your issue resolved quickly?"", ""user"": ""Not really, I had to follow up multiple times."", ""ai_assistant"": ""Is there anything we could improve?"", ""user"": ""Yes, faster response times would be great.""]","[""ai_assistant"": ""Thanks for your input! We’ll work on making support more efficient.""]"
